CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-12-1,8,6,4,6,5,4,100,91,81,1020,1014,1007,10,9,4,39,29,58,0.00,6,Rain,278
2016-12-2,8,3,-1,4,-1,-3,87,73,61,1022,1016,1007,10,10,10,37,21,66,0.00,2,,304
2016-12-3,3,-2,-6,-1,-3,-6,100,92,75,1028,1025,1022,10,9,2,11,6,,0.00,6,Fog,273
2016-12-4,-1,-3,-5,-1,-2,-5,100,100,100,1031,1030,1027,2,1,0,11,6,,0.00,7,Fog,251
2016-12-5,-1,-3,-5,-2,-3,-5,100,99,93,1030,1027,1026,10,4,0,10,5,,0.00,6,Fog,240
2016-12-6,1,-1,-2,1,0,-3,100,97,93,1034,1030,1026,10,8,0,14,8,,0.00,7,Fog-Rain,270
2016-12-7,6,3,1,2,0,-2,100,87,75,1035,1031,1027,10,7,1,21,10,,0.00,7,Fog-Rain,180
2016-12-8,11,8,5,3,2,0,81,69,58,1026,1024,1023,10,10,10,29,18,,0.00,6,,250
2016-12-9,10,8,5,8,6,0,100,85,61,1024,1023,1022,10,8,3,26,18,,0.00,7,Rain,257
2016-12-10,10,9,8,8,7,6,93,87,76,1022,1019,1017,10,9,4,27,19,45,0.00,6,Rain,260
2016-12-11,8,7,6,7,6,4,100,91,81,1016,1011,1005,10,8,4,29,18,48,0.00,6,Rain,263
2016-12-12,7,3,-1,6,1,-4,93,80,56,1029,1022,1013,10,10,7,24,13,,0.00,6,Rain,38
2016-12-13,4,1,-2,4,0,-5,100,86,75,1028,1025,1022,10,10,5,14,8,,0.00,6,Rain,184
2016-12-14,6,3,0,5,3,0,100,95,87,1030,1024,1021,10,7,2,11,8,,0.00,6,Fog-Rain,313
2016-12-15,3,2,1,1,-1,-1,100,81,75,1033,1032,1030,10,9,2,23,10,,0.00,6,,127
2016-12-16,3,0,-3,-1,-2,-4,93,81,70,1034,1033,1032,10,10,10,21,16,,0.00,4,,155
2016-12-17,0,-2,-4,0,-1,-4,100,99,93,1036,1035,1034,8,3,0,16,6,,0.00,7,Fog,270
2016-12-18,6,3,1,6,4,1,100,98,93,1035,1031,1030,10,5,1,14,10,,0.00,7,Fog,274
2016-12-19,5,4,3,4,2,0,100,87,75,1033,1032,1031,10,10,8,14,6,,0.00,6,,154
2016-12-20,3,1,-1,0,-1,-2,100,93,81,1032,1029,1026,10,7,2,24,11,,0.00,6,,125
2016-12-21,2,0,-2,0,-2,-4,93,88,81,1028,1027,1025,10,9,7,21,13,,0.00,5,,191
2016-12-22,3,0,-2,2,-1,-3,100,91,81,1030,1028,1027,10,9,5,14,10,,0.00,6,Rain,207
2016-12-23,5,3,2,3,2,1,100,93,87,1033,1031,1025,10,8,2,24,14,,0.00,7,,224
2016-12-24,7,3,1,5,3,0,93,86,76,1025,1020,1017,10,9,6,32,21,52,0.00,6,Rain,231
2016-12-25,10,7,4,8,6,3,100,92,76,1018,1017,1015,10,9,2,39,26,71,0.00,6,Rain,260
2016-12-26,11,7,4,9,6,0,94,83,70,1022,1019,1016,10,10,7,40,29,64,0.00,5,Rain,259
2016-12-27,8,7,5,5,2,-1,93,72,53,1034,1027,1021,10,10,10,47,34,72,0.00,6,Rain,296
2016-12-28,7,6,5,6,5,4,100,93,87,1041,1038,1034,10,9,6,16,11,,0.00,6,Rain,318
2016-12-29,5,2,-1,5,2,-1,100,90,70,1042,1041,1039,10,10,10,19,6,,0.00,6,Fog,256
2016-12-30,4,0,-3,1,-1,-3,100,93,75,1039,1036,1033,10,8,2,11,5,,0.00,,Fog,200
2016-12-31,4,0,-4,2,-2,-5,100,86,65,1033,1029,1023,10,8,3,24,11,,0.00,7,Fog,251
2017-1-1,5,2,0,2,1,-2,87,81,75,1023,1017,1014,10,10,6,23,14,,0.00,6,,229
2017-1-2,3,0,-3,2,-1,-3,100,94,81,1018,1015,1013,10,8,3,24,16,,0.00,5,Rain-Snow,276
2017-1-3,4,2,0,2,2,0,100,93,87,1017,1013,1002,10,9,4,47,26,61,0.00,6,Rain-Snow,261
2017-1-4,5,2,0,3,1,-2,93,86,75,1011,1001,996,10,9,4,50,34,71,0.00,5,Rain-Snow,294
2017-1-5,0,-3,-7,-2,-7,-10,87,74,51,1037,1026,1012,10,10,10,23,14,37,0.00,3,Snow,351
2017-1-6,-3,-7,-9,-8,-10,-11,93,79,64,1041,1040,1037,10,10,10,13,8,,0.00,1,,307
2017-1-7,-3,-7,-9,-3,-8,-11,100,83,64,1039,1030,1024,10,5,3,24,11,,0.00,6,Snow,203
2017-1-8,-1,-2,-3,-2,-3,-3,100,96,93,1031,1028,1024,5,3,2,10,5,,0.00,6,Snow,76
2017-1-9,0,-2,-3,-1,-2,-3,100,95,87,1030,1025,1018,10,5,4,14,6,,0.00,7,Snow,185
2017-1-10,1,-2,-5,-3,-5,-8,86,77,65,1017,1014,1013,10,10,10,27,18,,0.00,4,,158
2017-1-11,3,-2,-6,2,-5,-10,100,83,74,1015,1005,996,10,9,1,32,21,50,0.00,6,Rain-Snow,194
2017-1-12,5,3,2,1,0,-1,87,79,70,1004,1001,996,10,10,10,34,27,52,0.00,6,Rain,241
